from_name,message,created_time,link,likes_count,comments_count,shares_count,title,z_like,z_comments,z_shares,date,time
噪咖,"你們有想過別人感受嗎？你沒有（白眼翻到後腦勺）

<U+202A>#生活 <U+202C>
#噪咖同樂會<U+202C>
#頭髮分編
Bella.tw儂儂
更多精彩好文<U+25BA>http://bit.ly/1QfWGMk",2017-01-02T04:00:00+0000,http://www.ebcbuzz.com/watch/29953,128,1,3,地表最強閃光，最惹人白眼的高調曬恩愛行為!,-0.51075143,-0.237636234,-0.343349775,102,4
噪咖,"大家知道太妍耳後有這個雙魚座的刺青嗎？原來她身上也不少說

#生活
#同樂會好文推
#隨便亂編

MasterHands 高手娛樂 多媒體線上雜誌
更多精彩好文<U+25BA>http://bit.ly/1WCkyJo",2017-01-02T02:45:00+0000,http://www.ebcbuzz.com/watch/27462,1862,8,40,【韓星也狂熱的簡約刺青，有了這些微刺青！人人都能當小清新！】低調又不失個性！創造專屬自己的符號！,0.076433589,-0.197635439,-0.274479296,102,2
噪咖,"就像每次說要早睡，結果又滑手機滑到半夜一樣啊…XD

#FUN圖生活
#在權志龍身編

圖片經 豆苗先生授權使用",2017-01-02T02:00:00+0000,http://www.ebcbuzz.com/watch/210138,484,1,6,「今天要吃肉吃到吐」但吃到飽後都會有一段時間不敢吃烤肉？TOP7那些你以為的美好幻想破滅瞬間,-0.390199027,-0.237636234,-0.337765682,102,2
噪咖,"原來一條線就能當指彩工具？ 而且還是3種風格！

#同樂會好文推
#生活
#隨便亂編

Japaholic
更多精彩好文<U+25B6>http://bit.ly/1GQzkVK",2017-01-02T01:00:00+0000,http://www.ebcbuzz.com/watch/23346,395,6,8,說有多精緻，就有多精緻！用「一條細線」就能DIY菱格紋指甲彩繪，超省錢啊！,-0.420337128,-0.209064238,-0.334042954,102,1
噪咖,"大家有買過了嗎？

#生活
#同樂會好文推
#隨便亂編

美麗佳人 Marie Claire Taiwan
更多精彩好文<U+25BA>http://bit.ly/1jgDAbV",2017-01-02T00:00:00+0000,http://www.ebcbuzz.com/watch/27295,1172,3,93,好用到常斷貨！編輯首爾帶路，超人氣韓系美妝買好、買滿！,-0.15722135,-0.226207436,-0.175826988,102,0
噪咖,"這顏色低調又特別，好想試試看!!!

#生活
#噪咖同樂會
#想要住海編
4meee！
更多精彩好文<U+25BA>http://bit.ly/2feZ3nr",2017-01-01T15:00:00+0000,http://www.ebcbuzz.com/watch/210059,2303,27,196,絕對會被誇獎，髮色就決定是這個了！～中長髮篇～,0.225769571,-0.089061852,0.015893536,101,15
噪咖,"當然是感情啊啊啊啊

#生活
<U+202A>#特約專欄<U+202C>
<U+202A><U+202A>#頭髮分編<U+202C><U+202C>",2017-01-01T14:00:00+0000,http://www.ebcbuzz.com/watch/210133,532,3,26,【塔羅占卜】我在2017年哪方面會開花結果？,-0.373944771,-0.226207436,-0.300538396,101,14
噪咖,"大家還知道哪些喝酒的潛規則嗎?

#噪咖同樂會
#生活
#想要住海編
Japaholic
更多精彩好文<U+25B6>http://bit.ly/1XUuxh5",2017-01-01T13:00:00+0000,http://www.ebcbuzz.com/watch/210269,490,1,20,進日本居酒屋前一定要先搞清楚的7大潛規則！點菜前先點杯飲料才會顯得有禮貌？,-0.388167245,-0.237636234,-0.311706582,101,13
噪咖,"下次去香港也要這樣拍！還是你更有創意？←傳照片分享

#FUN圖生活
#在權志龍身編

圖片取自Mark & Aisling's MTR Challenge",2017-01-01T12:45:00+0000,http://www.ebcbuzz.com/watch/210126,1060,25,25,這樣當觀光客才有梗！外國情侶遊地鐵創意照，來到香港”九龍灣”你會怎麼拍？,-0.195147948,-0.100490651,-0.302399761,101,12
噪咖,"以下開放跟摯友的告白時間！（抱）

那些電影教我的事 - Lessons from Movies

#娛樂
#特約專欄
#頭髮分編",2017-01-01T12:00:00+0000,http://www.ebcbuzz.com/watch/210230,225,3,10,那些電影教我的事：真摯的友情，不一定要同意，但一定會理解；不一定要忘記，但一定會原諒；不一定要聯絡，但一定會掛念。,-0.477904287,-0.226207436,-0.330320225,101,12
