from_name,message,created_time,link,likes_count,comments_count,shares_count,title,z_like,z_comments,z_shares,date,time
PTT01 娛樂新聞,哈哈哈，真的蠻丟臉的耶XD,2017-01-02T03:01:00+0000,http://cool.ptt01.cc/post_11107,1865,1,3,"
                        王瞳和艾成交往４年，感情超穩定！但初次與男友爸媽見面時，王瞳居然做出這麼「丟臉」的舉動...
                    ",0.096551148,-0.315189268,-0.363017124,102,3
PTT01 娛樂新聞,他說：沒有人會想看到孩子受苦…,2017-01-02T00:01:00+0000,http://cool.ptt01.cc/post_12991,952,2,138,"
                        司機先生發現一個小男孩哭著走進校車，沒有任何猶豫…司機立刻脫下手套走向他！
                    ",-0.327873714,-0.293924499,-0.032818457,102,0
PTT01 娛樂新聞,48秒內，300萬美金Get！,2017-01-01T23:01:00+0000,http://cool.ptt01.cc/post_13052,1077,8,36,"
                        睽違13個月復出的龍達選擇在2016年最後一天出戰，結果留給粉絲們滿滿的錯愕
                    ",-0.269765162,-0.166335883,-0.282301894,101,23
PTT01 娛樂新聞,史上最強鋪磚神技，沒有之一！,2017-01-01T22:01:01+0000,http://cool.ptt01.cc/post_12995,768,1,228,"
                        工人把磚塊排成骨牌就算了，沒想到最後一塊倒下後「再反轉回去」的畫面神到讓人下巴差點掉在地上！
                    ",-0.413409502,-0.315189268,0.187313987,101,22
PTT01 娛樂新聞,#6.的設計實在是太棒了！,2017-01-01T17:41:00+0000,http://cool.ptt01.cc/post_13022,747,1,204,"
                        想在家裡有個「消失的密室」嗎？這22個國外暗門讓人驚呼連連！
                    ",-0.423171739,-0.315189268,0.128612002,101,17
PTT01 娛樂新聞,爸爸會為妳感到驕傲的！,2017-01-01T15:01:00+0000,http://cool.ptt01.cc/post_12201,393,0,2,"
                        爸爸拼命存錢幫慶生，曾莞婷分享「最後一份禮物」，故事背後藏著滿滿洋蔥...
                    ",-0.587735157,-0.336454037,-0.36546304,101,15
PTT01 娛樂新聞,這種主人該下地獄,2017-01-01T14:01:00+0000,http://cool.ptt01.cc/post_13045,341,22,30,"
                        長期被栓養的狗媽媽竟然餓到把生下來的幼犬吃掉，狗主人的推託之詞讓人忍不住火大！
                    ",-0.611908315,0.131370887,-0.296977391,101,14
PTT01 娛樂新聞,為了不讓猴子咬人，人們甚至會鋸斷他們的牙齒<ed><U+00A0><U+00BD><ed><U+00B8><U+00A0>,2017-01-01T13:21:00+0000,http://cool.ptt01.cc/post_13032,687,15,72,"
                        「變臉猴」長期街頭賣藝，笑容的背後卻是最殘忍的剝削和虐待...
                    ",-0.451063844,-0.017482498,-0.194248917,101,13
PTT01 娛樂新聞,賴解孵真的好浪漫啊～,2017-01-01T12:41:00+0000,http://cool.ptt01.cc/post_13028,430,0,8,"
                        有一種愛是「賴解孵和Ella」！總用同一種方式抱老婆，賴解孵肢體語言解密超甜蜜~
                    ",-0.570535026,-0.336454037,-0.350787544,101,12
PTT01 娛樂新聞,只要不放棄，逆境也能成為成功的墊腳石！,2017-01-01T11:41:00+0000,http://cool.ptt01.cc/post_13042,837,4,24,"
                        手藝好的她因唐氏症的關係在職場上屢遭碰壁，但自行創業後的驚人業績直打臉面試官當時的偏見！
                    ",-0.381333581,-0.25139496,-0.311652887,101,11
